;6 bar;7 bar ;8 bar;9 bar;10 bar;11 bar;12 bar;13 bar;14 bar;15 bar;16 bar;17 bar;18 bar
441;;2022084,607;2020042,555;2017992,376;2015933,984;2013867,295;2011792,221;2009708,671;2007616,557;2005515,786;2003406,263;2001287,894;1999160,581
442;;2024506,751;2022477,314;2020439,889;2018394,393;2016340,742;2014278,853;2012208,639;2010130,012;2008042,882;2005947,16;2003842,753;2001729,567
443;;2026930,113;2024913,164;2022888,362;2020855,628;2018814,881;2016766,037;2014709,015;2012643,729;2010570,093;2008488,019;2006397,417;2004298,197
444;;2029354,706;2027350,12;2025337,814;2023317,71;2021289,731;2019253,797;2017209,827;2015157,739;2013097,449;2011028,872;2008951,922;2006866,51
445;;2031780,545;2029788,197;2027788,26;2025780,659;2023765,316;2021742,156;2019711,1;2017672,068;2015624,98;2013569,753;2011506,303;2009434,545
446;;2034207,641;2032227,412;2030239,719;2028244,492;2026241,656;2024231,138;2022212,86;2020186,745;2018152,717;2016110,694;2014060,595;2012002,339
447;;2036636,01;2034667,778;2032692,207;2030709,229;2028718,772;2026720,764;2024715,13;2022701,797;2020680,688;2018651,726;2016614,833;2014569,929
448;;2039065,664;2037109,31;2035145,741;2033174,889;2031196,685;2029211,058;2027217,937;2025217,25;2023208,923;2021192,882;2019169,051;2017137,352
449;;2041496,615;2039552,024;2037600,337;2035641,489;2033675,413;2031702,041;2029721,303;2027733,13;2025737,45;2023734,191;2021723,28;2019704,642
450;;2043928,876;2041995,932;2040056,011;2038109,048;2036154,978;2034193,735;2032225,253;2030249,463;2028266,297;2026275,684;2024277,554;2022271,834
